S 8591 8747
V 950663697 [4903.0919999964535 5114.269500000402]
V 1348567763 [14.774099998176098 4493.768399998546]
V 950663696 [5586.996300000697 5927.477700000629]
V 427163744 [5106.843599997461 1687.9547999985516]
V 427163751 [1836.6281999982893 2844.341699998826]
V 950663702 [5473.509899999946 4121.163599997759]
V 1348537172 [-3623.006700001657 3835.8602999988943]
V 950663701 [5392.046999998391 4323.494399998337]
V 427163749 [1469.5179000012577 3180.5384999979287]
V 1346081295 [9760.918199997395 -387.92279999889433]
V 427163748 [1041.4463999979198 3679.261499999091]
V 1348567769 [-128.5046999976039 3118.433999998495]
V 950663706 [4944.528299998492 5122.061699999496]
V 427163754 [4146.194099996239 1950.9803999997675]
V 427163753 [4138.612799998373 1959.6383999995887]
V 427163758 [4143.274799995124 1957.1298000011593]
V 950663709 [5492.1800999976695 3842.542500000447]
V 427163756 [4129.31099999696 1945.0862999986857]
V 427163729 [4492.336500000209 1842.6666000001132]
V 427163730 [1560.8153999969363 3119.555099999532]
V 1346081343 [9772.118099998683 -358.8629999998957]
V 427163732 [4992.768899995834 1734.6192000005394]
V 1346081342 [9773.350199997425 -359.9841000009328]
V 950663718 [5351.987099997699 4724.060099998489]
V 427163734 [4090.5053999982774 1960.69290000014]
V 1772906213 [7797.217199996114 4645.905000001192]
V 427163736 [4140.954900000244 1942.3667999990284]
V 1346081330 [9773.949599999934 -363.5916000008583]
V 427163737 [2512.0076999999583 2358.1394999995828]
V 427163739 [2405.691899999976 2418.8009999990463]
V 1772906222 [7641.78389999643 4551.499500000849]
V 1346081334 [9773.838599998504 -361.60470000095665]
V 1772906223 [7647.045299995691 4566.218100000173]
V 1772906221 [7641.040199995041 4526.080499999225]
V 427163743 [2267.996399998665 2512.8401999976486]
V 1772906227 [7639.519499994814 4539.589199999347]
V 427163712 [-55.34460000321269 3418.122899999842]
V 1772906226 [7640.385299995542 4545.23909999989]
V 1772906225 [7639.452899999917 4533.661799998954]
V 1772906224 [7642.882799997926 4556.771999999881]
V 427163714 [3478.828799996525 2042.5553999990225]
V 427163717 [3188.852399997413 2077.742399999872]
V 427163716 [3290.039999999106 2056.5968999993056]
V 1346081324 [9772.817399997264 -370.14060000143945]
V 427163719 [3092.6486999988556 2113.1958000008017]
V 427163721 [3933.040799997747 1998.7770000007004]
V 427163722 [3758.48219999671 2016.5481000002474]
